Season,Team1,Q1,Q2,Q3,Q4,OT,2OT,3OT,Final,Team2,Q1,Q2,Q3,Q4,OT,2OT,3OT,Final,Date
2000,ORL,22,18,17,29,0,0,0,86,CHH,21,21,37,21,0,0,0,100,19991102
2000,GSW,28,23,24,21,0,0,0,96,DAL,32,23,26,27,0,0,0,108,19991102
2000,PHO,23,38,16,17,8,0,0,102,DEN,29,18,25,22,13,0,0,107,19991102
2000,MIL,25,21,29,23,0,0,0,98,HOU,28,26,20,19,0,0,0,93,19991102
2000,SEA,25,37,26,16,0,0,0,104,LAC,22,26,27,17,0,0,0,92,19991102
2000,DET,22,24,24,30,9,13,0,122,MIA,33,24,20,23,9,19,0,128,19991102
2000,IND,41,26,23,29,0,0,0,119,NJN,27,28,27,30,0,0,0,112,19991102
2000,CLE,20,27,18,19,0,0,0,84,NYK,30,25,19,18,0,0,0,92,19991102
2000,PHI,18,20,16,22,0,0,0,76,SAS,23,14,20,32,0,0,0,89,19991102
2000,BOS,27,23,29,24,0,0,0,103,TOR,18,24,23,25,0,0,0,90,19991102
2000,LAL,25,18,20,28,0,0,0,91,UTA,18,18,23,25,0,0,0,84,19991102
2000,POR,32,25,23,26,0,0,0,106,VAN,22,17,25,22,0,0,0,86,19991102
2000,ATL,26,19,22,20,0,0,0,87,WAS,24,28,23,19,0,0,0,94,19991102
2000,WAS,21,26,20,34,0,0,0,101,BOS,28,25,36,23,0,0,0,112,19991103
2000,NYK,18,14,30,22,0,0,0,84,CHI,18,12,25,19,0,0,0,74,19991103
2000,NJN,27,14,24,25,0,0,0,90,CLE,27,19,27,24,0,0,0,97,19991103
2000,VAN,22,26,19,21,0,0,0,88,LAL,23,26,30,24,0,0,0,103,19991103
2000,DET,21,24,23,26,0,0,0,94,ORL,23,21,33,26,0,0,0,103,19991103
2000,LAC,20,31,27,20,0,0,0,98,POR,30,29,33,29,0,0,0,121,19991103
2000,MIL,26,31,29,33,0,0,0,119,ATL,25,28,27,29,0,0,0,109,19991104
2000,IND,19,27,15,28,0,0,0,89,CHH,29,30,22,17,0,0,0,98,19991104
2000,PHI,23,18,18,21,0,0,0,80,PHO,26,16,26,16,0,0,0,84,19991104
2000,GSW,14,20,22,25,0,0,0,81,SAS,23,21,29,31,0,0,0,104,19991104
2000,DAL,25,21,28,22,0,0,0,96,SEA,26,30,25,25,0,0,0,106,19991104
2000,MIA,25,15,29,17,0,0,0,86,TOR,20,27,19,31,0,0,0,97,19991104
2000,HOU,17,14,28,23,0,0,0,82,UTA,24,14,30,30,0,0,0,98,19991104
2000,CHH,31,18,22,29,0,0,0,100,BOS,37,21,23,22,0,0,0,103,19991105
2000,MIA,31,24,29,21,0,0,0,105,CHI,15,17,28,27,0,0,0,87,19991105
2000,NYK,29,27,24,23,0,0,0,103,DET,18,22,21,30,0,0,0,91,19991105
2000,SAS,25,26,21,23,0,0,0,95,HOU,26,21,24,14,0,0,0,85,19991105
2000,PHI,14,27,12,28,0,0,0,81,LAC,22,20,28,21,0,0,0,91,19991105
2000,TOR,35,30,23,24,0,0,0,112,NJN,29,21,19,23,0,0,0,92,19991105
2000,CLE,23,33,18,30,0,0,0,104,ORL,25,24,31,19,0,0,0,99,19991105
2000,DEN,20,12,29,22,0,0,0,83,POR,27,22,26,20,0,0,0,95,19991105
2000,MIN,29,17,30,19,0,0,0,95,SAC,28,26,24,22,0,0,0,100,19991105
