roll,die1,die2,croupier
1,3,2,Carey
2,6,6,Carey
3,1,6,Carey
4,4,3,Carey
5,5,1,Carey
6,4,2,Carey
7,2,5,Carey
8,4,6,Carey
9,5,6,Carey
10,2,6,Carey
11,5,3,Carey
12,3,3,Carey
13,1,1,Carey
14,1,4,Carey
15,6,3,Carey
16,1,5,Carey
17,4,5,Carey
18,5,4,Carey
19,4,3,Carey
20,1,1,Carey
21,3,1,Carey
22,6,3,Carey
23,2,5,Carey
24,4,3,Carey
25,6,2,Carey
26,5,2,Carey
27,2,6,Carey
28,3,6,Carey
29,5,4,Carey
30,2,2,Carey
31,2,6,Carey
32,4,6,Carey
33,2,6,Carey
34,6,1,Carey
35,6,4,Carey
36,4,5,Carey
37,4,6,Carey
38,2,4,Carey
39,3,2,Carey
40,4,1,Carey
41,1,5,Carey
42,2,6,Carey
43,3,6,Carey
44,4,5,Carey
45,1,1,Carey
46,4,3,Carey
47,4,1,Carey
48,2,1,Carey
49,6,3,Carey
50,4,6,Carey
51,3,4,Carey
52,6,3,Carey
53,3,1,Carey
54,6,4,Carey
55,6,5,Carey
56,2,4,Carey
57,6,4,Carey
58,4,6,Carey
59,6,3,Carey
60,3,4,Carey
61,4,1,Carey
62,6,4,Carey
63,2,4,Carey
64,6,4,Carey
65,2,4,Carey
66,5,5,Carey
67,5,4,Carey
68,4,1,Carey
69,3,1,Carey
70,1,4,Carey
71,5,4,Carey
72,1,3,Carey
73,4,6,Carey
74,4,2,Carey
75,6,4,Carey
76,4,4,Carey
77,5,3,Carey
78,4,4,Carey
79,3,1,Carey
80,5,4,Carey
81,2,6,Carey
82,4,5,Carey
83,5,3,Carey
84,4,3,Carey
85,3,3,Carey
86,1,2,Carey
87,3,5,Carey
88,1,1,Carey
89,1,5,Carey
90,1,5,Carey
91,1,2,Carey
92,1,1,Carey
93,2,2,Carey
94,5,1,Carey
95,5,3,Carey
96,2,3,Carey
97,3,2,Carey
98,4,1,Carey
99,5,3,Carey
100,3,1,Carey
101,2,4,Kris
102,1,4,Kris
103,1,5,Kris
104,4,6,Kris
105,2,6,Kris
106,5,3,Kris
107,2,1,Kris
108,6,6,Kris
109,3,2,Kris
110,3,1,Kris
111,4,1,Kris
112,3,3,Kris
113,5,4,Kris
114,4,5,Kris
115,5,3,Kris
116,5,1,Kris
117,1,2,Kris
118,5,4,Kris
119,3,3,Kris
120,3,1,Kris
121,2,4,Kris
122,4,3,Kris
123,1,1,Kris
124,3,6,Kris
125,4,4,Kris
126,4,2,Kris
127,6,6,Kris
128,5,2,Kris
129,6,3,Kris
130,1,6,Kris
131,5,4,Kris
132,2,2,Kris
133,1,3,Kris
134,4,5,Kris
135,5,2,Kris
136,4,2,Kris
137,5,2,Kris
138,4,5,Kris
139,3,2,Kris
140,4,3,Kris
141,6,6,Kris
142,6,6,Kris
143,6,2,Kris
144,4,5,Kris
145,5,3,Kris
146,1,2,Kris
147,6,3,Kris
148,1,3,Kris
149,5,2,Kris
150,4,1,Kris
151,4,2,Kris
152,6,2,Kris
153,4,4,Kris
154,6,5,Kris
155,3,1,Kris
156,4,4,Kris
157,6,6,Kris
158,6,4,Kris
159,6,2,Kris
160,2,3,Kris
161,4,1,Kris
162,3,5,Kris
163,5,3,Kris
164,4,2,Kris
165,5,3,Kris
166,3,3,Kris
167,5,1,Kris
168,2,4,Kris
169,2,5,Kris
170,3,4,Kris
171,1,6,Kris
172,6,2,Kris
173,6,3,Kris
174,5,3,Kris
175,6,6,Kris
176,3,1,Kris
177,1,6,Kris
178,5,2,Kris
179,1,1,Kris
180,5,4,Kris
181,3,3,Kris
182,3,4,Kris
183,1,2,Kris
184,2,6,Kris
185,6,6,Kris
186,3,4,Kris
187,1,3,Kris
188,3,1,Kris
189,3,5,Kris
190,3,1,Kris
191,1,1,Kris
192,5,4,Kris
193,3,3,Kris
194,5,5,Kris
195,4,6,Kris
196,5,5,Kris
197,6,5,Kris
198,5,5,Kris
199,5,2,Kris
200,3,3,Kris
201,4,3,Carey
202,4,1,Carey
203,3,3,Carey
204,1,4,Carey
205,1,6,Carey
206,3,3,Carey
207,5,3,Carey
208,2,6,Carey
209,1,4,Carey
210,4,3,Carey
211,2,5,Carey
212,1,4,Carey
213,3,5,Carey
214,4,4,Carey
215,2,6,Carey
216,1,2,Carey
217,5,3,Carey
218,3,2,Carey
219,1,3,Carey
220,4,2,Carey
221,6,5,Carey
222,2,2,Carey
223,1,5,Carey
224,4,4,Carey
225,2,1,Carey
226,4,2,Carey
227,4,6,Carey
228,2,2,Carey
229,6,3,Carey
230,4,4,Carey
231,3,2,Carey
232,6,1,Carey
233,6,6,Carey
234,1,6,Carey
235,4,3,Carey
236,1,5,Carey
237,6,3,Carey
238,4,5,Carey
239,3,2,Carey
240,3,2,Carey
241,3,6,Carey
242,5,4,Carey
243,2,4,Carey
244,4,2,Carey
245,4,1,Carey
246,5,2,Carey
247,3,2,Carey
248,1,6,Carey
249,2,5,Carey
250,1,6,Carey
251,1,2,Carey
252,2,1,Carey
253,3,4,Carey
254,6,2,Carey
255,1,5,Carey
256,6,2,Carey
257,2,4,Carey
258,1,6,Carey
259,2,6,Carey
260,5,3,Carey
261,1,2,Carey
262,3,3,Carey
263,4,3,Carey
264,4,3,Carey
265,6,3,Carey
266,4,5,Carey
267,4,3,Carey
268,6,5,Carey
269,5,1,Carey
270,6,4,Carey
271,3,2,Carey
272,6,4,Carey
273,2,6,Carey
274,2,5,Carey
275,6,2,Carey
276,1,1,Carey
277,2,5,Carey
278,3,3,Carey
279,6,5,Carey
280,1,3,Carey
281,4,3,Carey
282,1,3,Carey
283,6,3,Carey
284,6,5,Carey
285,4,4,Carey
286,2,5,Carey
287,2,6,Carey
288,4,2,Carey
289,4,3,Carey
290,2,3,Carey
291,2,2,Carey
292,1,5,Carey
293,6,2,Carey
294,5,5,Carey
295,1,4,Carey
296,6,4,Carey
297,5,4,Carey
298,3,2,Carey
299,4,3,Carey
300,3,1,Carey
301,4,6,Kris
302,5,4,Kris
303,1,3,Kris
304,3,5,Kris
305,6,3,Kris
306,6,6,Kris
307,5,1,Kris
308,1,2,Kris
309,3,5,Kris
310,4,5,Kris
311,1,1,Kris
312,2,3,Kris
313,5,3,Kris
314,3,3,Kris
315,1,2,Kris
316,5,4,Kris
317,6,5,Kris
318,2,5,Kris
319,3,5,Kris
320,3,4,Kris
321,5,6,Kris
322,4,2,Kris
323,1,6,Kris
324,5,6,Kris
325,6,5,Kris
326,1,4,Kris
327,1,6,Kris
328,4,5,Kris
329,6,5,Kris
330,6,6,Kris
331,1,1,Kris
332,2,4,Kris
333,1,4,Kris
334,5,6,Kris
335,5,5,Kris
336,6,2,Kris
337,6,1,Kris
338,1,5,Kris
339,4,6,Kris
340,3,1,Kris
341,6,5,Kris
342,1,2,Kris
343,5,3,Kris
344,2,3,Kris
345,2,3,Kris
346,3,2,Kris
347,4,1,Kris
348,6,4,Kris
349,1,2,Kris
350,4,2,Kris
351,4,5,Kris
352,6,2,Kris
353,4,6,Kris
354,1,2,Kris
355,3,3,Kris
356,4,6,Kris
357,4,1,Kris
358,5,6,Kris
359,4,2,Kris
360,4,1,Kris
361,3,5,Kris
362,3,2,Kris
363,5,5,Kris
364,6,1,Kris
365,6,5,Kris
366,1,3,Kris
367,3,6,Kris
368,6,5,Kris
369,1,5,Kris
370,5,5,Kris
371,5,5,Kris
372,6,1,Kris
373,6,1,Kris
374,1,5,Kris
375,3,5,Kris
376,5,4,Kris
377,1,5,Kris
378,1,6,Kris
379,1,3,Kris
380,4,1,Kris
381,2,6,Kris
382,6,5,Kris
383,3,6,Kris
384,3,6,Kris
385,4,1,Kris
386,3,6,Kris
387,2,6,Kris
388,6,3,Kris
389,1,1,Kris
390,4,2,Kris
391,5,4,Kris
392,4,4,Kris
393,6,2,Kris
394,4,3,Kris
395,1,3,Kris
396,3,6,Kris
397,4,4,Kris
398,3,4,Kris
399,4,1,Kris
400,4,2,Kris
401,5,4,Carey
402,5,6,Carey
403,2,1,Carey
404,5,3,Carey
405,1,3,Carey
406,1,1,Carey
407,4,4,Carey
408,4,3,Carey
409,3,1,Carey
410,3,1,Carey
411,4,4,Carey
412,4,4,Carey
413,6,4,Carey
414,4,6,Carey
415,2,2,Carey
416,6,4,Carey
417,1,6,Carey
418,3,2,Carey
419,6,3,Carey
420,3,5,Carey
421,1,3,Carey
422,6,5,Carey
423,2,6,Carey
424,3,3,Carey
425,2,1,Carey
426,6,6,Carey
427,1,5,Carey
428,1,1,Carey
429,4,6,Carey
430,6,1,Carey
431,4,6,Carey
432,3,2,Carey
433,5,5,Carey
434,2,5,Carey
435,5,5,Carey
436,5,2,Carey
437,4,2,Carey
438,1,4,Carey
439,2,2,Carey
440,4,5,Carey
441,1,2,Carey
442,4,3,Carey
443,2,6,Carey
444,6,5,Carey
445,6,1,Carey
446,4,6,Carey
447,1,2,Carey
448,3,5,Carey
449,3,6,Carey
450,5,6,Carey
451,6,4,Carey
452,6,4,Carey
453,5,2,Carey
454,6,5,Carey
455,5,1,Carey
456,5,5,Carey
457,1,1,Carey
458,3,5,Carey
459,4,3,Carey
460,2,3,Carey
461,1,6,Carey
462,5,3,Carey
463,5,1,Carey
464,6,2,Carey
465,1,2,Carey
466,4,5,Carey
467,3,2,Carey
468,5,2,Carey
469,3,1,Carey
470,1,4,Carey
471,5,5,Carey
472,1,4,Carey
473,5,3,Carey
474,3,3,Carey
475,1,3,Carey
476,4,6,Carey
477,6,6,Carey
478,4,3,Carey
479,6,3,Carey
480,4,4,Carey
481,1,5,Carey
482,3,5,Carey
483,4,4,Carey
484,3,2,Carey
485,3,1,Carey
486,6,6,Carey
487,6,6,Carey
488,6,4,Carey
489,2,1,Carey
490,2,6,Carey
491,4,4,Carey
492,3,3,Carey
493,3,1,Carey
494,2,4,Carey
495,2,6,Carey
496,2,3,Carey
497,5,5,Carey
498,4,6,Carey
499,2,2,Carey
500,2,6,Carey
501,4,3,Kris
502,3,5,Kris
503,2,2,Kris
504,4,5,Kris
505,5,3,Kris
506,3,6,Kris
507,5,2,Kris
508,3,4,Kris
509,1,3,Kris
