,dish,price,mass,spiciness,vegan,cuisine,cost,price_w_tip,mass_per_dollar
0,aloo chana,10.0,450,9,True,Indian,7.0,12.0,37.5
1,cheeseburger,8.0,280,2,False,American,4.0,9.6,29.1667
2,jjajangmeon,12.0,400,6,False,Korean,4.0,14.4,27.7778
3,cacio e pepe,12.0,500,2,True,Italian,4.5,14.4,34.7222
4,bubble tea,4.0,300,0,True,Taiwanese,2.0,4.8,62.5
5,paleta,2.5,220,0,True,Central American,0.5,3.0,73.3333
6,enchiladas,11.0,475,7,False,Tex-Mex,3.0,13.2,35.9848
7,cauliflower shawarma,9.0,250,7,False,Middle-Eastern,7.0,10.8,23.1481
8,tikil gomen,10.0,300,4,True,Ethiopian,4.0,12.0,25.0
9,quesadilla,6.0,450,7,True,Tex-Mex,2.0,7.2,62.5
10,jollof rice,9.0,400,4,False,West African,7.0,10.8,37.037
11,grilled chili peppers,2.0,100,10,True,,0.25,2.4,41.6667
12,ma la fish,16.0,480,10,False,Sichuan,13.5,19.2,25.0
13,schnitzel,16.0,500,2,False,German,9.0,19.2,26.0417
14,empanadas,8.0,400,6,False,Argentinian,3.5,9.6,41.6667
