,index,Title,Available Globally?,Release Date,Hours Viewed
0,1209,Arrested Development: Season 1,No,2010-04-01,"17,600,000"
1,1844,Arrested Development: Season 2,No,2010-04-01,"11,300,000"
2,2758,Arrested Development: Season 3,No,2010-04-01,"7,000,000"
3,3391,Trailer Park Boys: Season 1,Yes,2010-09-22,"5,400,000"
4,3205,Trailer Park Boys: Season 2,Yes,2010-09-22,"5,800,000"
5,2834,Trailer Park Boys: Season 3,Yes,2010-09-22,"6,800,000"
6,2835,Trailer Park Boys: Season 4,Yes,2010-09-22,"6,800,000"
7,2395,Trailer Park Boys: Season 5,Yes,2010-09-22,"8,400,000"
8,3722,Trailer Park Boys: Season 6,Yes,2011-03-01,"4,800,000"
9,2633,Trailer Park Boys: Season 7,Yes,2011-03-01,"7,500,000"
10,101,La Reina del Sur: Season 1,No,2011-09-05,"94,700,000"
11,4446,Lilyhammer: Season 1,No,2012-02-06,"3,500,000"
12,1070,House of Cards: Season 1,No,2013-02-01,"20,000,000"
13,1062,Black Mirror: Season 1,No,2013-02-28,"20,100,000"
14,2117,Longmire: Season 1,No,2013-05-15,"9,600,000"
15,2891,The Fall: Season 1,No,2013-05-27,"6,600,000"
16,307,Orange Is the New Black: Season 1,Yes,2013-07-11,"48,800,000"
17,839,Mako Mermaids: An H2O Adventure: Season 1,No,2013-07-26,"24,700,000"
18,5469,Rita: Season 1,Yes,2013-08-14,"2,400,000"
19,8206,Derek: Season 1,Yes,2013-09-12,"900,000"
20,14683,Aziz Ansari: Buried Alive,Yes,2013-11-01,"100,000"
21,9806,The Short Game,Yes,2013-12-12,"600,000"
22,5561,Lilyhammer: Season 2,No,2013-12-13,"2,300,000"
23,4556,Turbo FAST: Season 1,No,2013-12-24,"3,400,000"
24,2192,Longmire: Season 2,No,2014-01-05,"9,200,000"
25,17722,The Square // Al Midan,No,2014-01-17,"100,000"
26,3789,Ever After High: Welcome to Ever After High,Yes,2014-01-31,"4,600,000"
27,1549,House of Cards: Season 2,No,2014-02-14,"13,500,000"
28,10012,Derek: Season 2,Yes,2014-05-30,"500,000"
29,17878,Trailer Park Boys Live In F**kin' Dublin,Yes,2014-05-31,"100,000"
30,450,Orange Is the New Black: Season 2,Yes,2014-06-06,"38,300,000"
31,1352,Black Mirror: Season 2,No,2014-06-14,"15,900,000"
32,11184,The Battered Bastards of Baseball,Yes,2014-07-11,"400,000"
33,13476,Mission Blue,Yes,2014-08-15,"200,000"
34,1531,BoJack Horseman: Season 1,Yes,2014-08-22,"13,600,000"
35,10142,Jim Jefferies : BARE,No,2014-08-29,"500,000"
36,2580,Trailer Park Boys: Season 8,Yes,2014-09-04,"7,700,000"
37,3300,Wakfu: Season 1,Yes,2014-09-12,"5,600,000"
38,4189,Wakfu: Season 2,Yes,2014-09-12,"3,900,000"
39,16854,Print the Legend,No,2014-09-26,"100,000"
40,217,Peaky Blinders: Season 1,No,2014-09-30,"61,100,000"
41,17280,Swearnet Live,Yes,2014-09-30,"100,000"
42,12772,Chelsea Handler: Uganda Be Kidding Me Live,No,2014-10-10,"200,000"
43,15282,E-Team,Yes,2014-10-24,"100,000"
44,12452,Virunga,Yes,2014-11-07,"300,000"
45,343,Peaky Blinders: Season 2,No,2014-11-14,"45,400,000"
46,17877,Trailer Park Boys Live at the North Pole,Yes,2014-11-14,"100,000"
47,5921,Lilyhammer: Season 3,No,2014-11-21,"2,000,000"
48,6876,Bill Burr: I'm Sorry You Feel That Way,No,2014-12-05,"1,400,000"
49,1270,Marco Polo: Season 1,Yes,2014-12-12,"16,800,000"
50,2077,All Hail King Julien: Season 1,Yes,2014-12-19,"9,800,000"
51,14851,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,Yes,2014-12-19,"100,000"
52,2751,The Fall: Season 2,No,2015-01-15,"7,100,000"
53,798,The Adventures of Puss in Boots: Season 1,No,2015-01-16,"26,000,000"
54,13202,Iliza Shlesinger: Freezing Hot,Yes,2015-01-23,"200,000"
55,5257,The Missing: Season 1,No,2015-01-31,"2,600,000"
56,6895,Ever After High: Spring Unsprung,Yes,2015-02-06,"1,400,000"
57,272,Better Call Saul: Season 1,No,2015-02-08,"52,500,000"
58,2257,Mako Mermaids: An H2O Adventure: Season 2,No,2015-02-13,"8,900,000"
59,2410,Richie Rich: Season 1,Yes,2015-02-20,"8,300,000"
60,1831,House of Cards: Season 3,No,2015-02-27,"11,400,000"
61,11078,Ralphie May: Unruly,Yes,2015-02-27,"400,000"
62,3432,Unbreakable Kimmy Schmidt: Season 1,Yes,2015-03-06,"5,300,000"
63,6280,Rita: Season 2,Yes,2015-03-11,"1,800,000"
64,937,Bloodline: Season 1,No,2015-03-20,"22,700,000"
65,2974,Trailer Park Boys: Season 9,Yes,2015-03-26,"6,400,000"
66,6236,Inspector Gadget: Season 1,No,2015-03-27,"1,800,000"
67,12878,Derek: Season 3,Yes,2015-04-03,"200,000"
68,8307,Lovesick: Season 1,Yes,2015-04-15,"900,000"
69,12780,Chris D'Elia: Incorrigible,Yes,2015-04-17,"200,000"
70,8962,Chef's Table: Volume 1,Yes,2015-04-26,"700,000"
71,2853,Longmire: Season 3,No,2015-05-01,"6,700,000"
72,1524,Grace and Frankie: Season 1,Yes,2015-05-08,"13,700,000"
73,3211,Between: Season 1,No,2015-05-21,"5,700,000"
74,3687,H2O: Mermaid Adventures: Season 1,No,2015-05-22,"4,800,000"
75,15902,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),Yes,2015-05-22,"100,000"
76,3150,Richie Rich: Season 2,No,2015-05-22,"5,900,000"
77,14128,The Other One: The Long Strange Trip of Bob Weir,Yes,2015-05-22,"200,000"
78,7649,Hot Girls Wanted,Yes,2015-05-29,"1,100,000"
79,2539,Mako Mermaids: An H2O Adventure: Season 3,No,2015-05-29,"7,800,000"
80,2265,Sense8: Season 1,Yes,2015-06-05,"8,900,000"
81,563,Orange Is the New Black: Season 3,Yes,2015-06-11,"32,600,000"
82,6590,Rita: Season 3,Yes,2015-06-14,"1,600,000"
83,2108,Some Assembly Required: Season 1,Yes,2015-06-19,"9,700,000"
84,897,Dragons: Race to the Edge: Season 1,Yes,2015-06-26,"23,400,000"
85,10517,"What Happened, Miss Simone?",Yes,2015-06-26,"500,000"
86,357,Las muñecas de la mafia: Season 1,No,2015-07-01,"44,000,000"
87,8190,Chris Tucker Live,Yes,2015-07-10,"900,000"
88,5436,H2O: Mermaid Adventures: Season 2,No,2015-07-15,"2,400,000"
89,1957,BoJack Horseman: Season 2,Yes,2015-07-17,"10,500,000"
90,11277,Tig,Yes,2015-07-17,"400,000"
91,8463,Turbo FAST: Season 2,No,2015-07-31,"900,000"
92,7818,Wet Hot American Summer: First Day of Camp: Season 1,Yes,2015-07-31,"1,100,000"
93,3877,Club de Cuervos: Season 1,Yes,2015-08-07,"4,400,000"
94,5465,Project Mc²: Part 1,Yes,2015-08-07,"2,400,000"
95,12872,Demetri Martin: Live (At the Time),Yes,2015-08-14,"200,000"
96,3446,Dinotrux: Season 1,No,2015-08-14,"5,200,000"
97,5091,Ever After High: Way Too Wonderland,Yes,2015-08-14,"2,700,000"
98,9559,Inspector Gadget: Season 2,No,2015-08-28,"600,000"
